,V1
LRP4.AS1,0.01
CLP1,0.01
GLYATL1,0.01
FAM111B,0.01
AP000640.2,0.01
PGA3,0.01
SYT7,0.01
ATL3,0.01
NAA40,0.01
MACROD1,0.01
CD248,0.01
IGHMBP2,0.01
AP002381.1,0.01
RELT,0.01
DNAJB13,0.01
RSF1,0.01
INTS4,0.01
FAM181B,0.01
AP001825.1,0.01
C11orf53,0.01
KCTD9P4,0.01
AP000797.2,0.01
BACE1.AS,0.01
SCN2B,0.01
PUS3,0.01
DDX25,0.01
ARHGAP32,0.01
AP004606.1,0.01
LINC00702,0.01
TUBAL3,0.01
AL139405.1,0.01
ACBD7,0.01
SPAG6,0.01
ARHGAP21,0.01
ZNF25,0.01
AGAP4,0.01
UBE2D1,0.01
MRLN,0.01
AC013287.1,0.01
AC022400.5,0.01
COX6CP15,0.01
AL157400.4,0.01
PIK3AP1,0.01
AL138921.1,0.01
ACSL5,0.01
RN7SL846P,0.01
SEC23IP,0.01
AC068896.1,0.01
RF00017.91,0.01
C10orf143,0.01
KDM5A,0.01
AC021054.1,0.01
AC125807.2,0.01
NOP2,0.01
ING4,0.01
C1R,0.01
AC131206.1,0.01
RIMKLB,0.01
TAS2R30,0.01
AC023790.2,0.01
AC010168.1,0.01
LINC02387,0.01
YARS2,0.01
LRRK2,0.01
RPAP3,0.01
AC004801.6,0.01
DAZAP2,0.01
PPP1R1A,0.01
STAC3,0.01
AGAP2,0.01
AGAP2.AS1,0.01
LINC01465,0.01
PABPC1P4,0.01
AC020611.2,0.01
ATP5PDP4,0.01
AC010201.2,0.01
MRPL42,0.01
CRADD,0.01
LTA4H,0.01
NUP37,0.01
PAH,0.01
TDG,0.01
WSCD2,0.01
RPL31P49,0.01
VPS29,0.01
CUX2,0.01
PHETA1,0.01
SETD1B,0.01
LRRC43,0.01
HCAR2,0.01
CCDC62,0.01
AC073592.3,0.01
DHX37,0.01
AC108704.1,0.01
AC073862.4,0.01
AC131009.4,0.01
MTMR6,0.01
NUP58,0.01
NHLRC3,0.01
SMARCE1P5,0.01
RCBTB1,0.01
LINC00345,0.01
LMO7.AS1,0.01
HMGB3P4,0.01
MYO16,0.01
LINC00346,0.01
AL139384.1,0.01
LDHBP1,0.01
AL356019.2,0.01
NDRG2,0.01
ACIN1,0.01
AL139023.1,0.01
RPL23AP71,0.01
INSM2,0.01
DPPA3P2,0.01
RN7SL1,0.01
CDKN3,0.01
AL138995.1,0.01
PSMA3,0.01
AL161756.1,0.01
AL139022.2,0.01
ZFYVE26,0.01
DCAF5,0.01
AC005993.1,0.01
PSEN1,0.01
COQ6,0.01
VRTN,0.01
MLH3,0.01
C14orf178,0.01
PSMC1,0.01
VRK1,0.01
AL157871.5,0.01
DYNC1H1,0.01
TECPR2,0.01
MARK3,0.01
LINC00637,0.01
MTMR10,0.01
AC090877.2,0.01
RMDN3,0.01
SPINT1,0.01
LRRC57,0.01
CDAN1,0.01
SPATA5L1,0.01
HMGN2P46,0.01
SECISBP2L,0.01
TRIP4,0.01
AC105129.3,0.01
TIPIN,0.01
AC013564.1,0.01
AAGAB,0.01
AC015871.3,0.01
AC068870.2,0.01
ZNF592,0.01
PEX11A,0.01
ZNF710,0.01
HSP90B2P,0.01
AC090164.5,0.01
MCRIP2,0.01
AL031600.2,0.01
AL031705.1,0.01
TEDC2,0.01
AC106820.4,0.01
AC092117.2,0.01
AC004233.2,0.01
LINC00921,0.01
ZNF174,0.01
AC012676.3,0.01
ZNF500,0.01
NAGPA.AS1,0.01
AC099489.3,0.01
AC007598.3,0.01
AC109597.2,0.01
AC130650.2,0.01
NPIPA2,0.01
AC099494.3,0.01
AC009152.1,0.01
AC130456.7,0.01
AC130448.1,0.01
AC093512.1,0.01
BOLA2B,0.01
ZNF688,0.01
AC106886.5,0.01
AC026471.2,0.01
ZNF720,0.01
PLLP,0.01
C16orf70,0.01
AC040160.2,0.01
AC027682.1,0.01
CARMIL2,0.01
AC099521.3,0.01
TERF2,0.01
TAT.AS1,0.01
PHLPP2,0.01
AC010653.2,0.01
PMFBP1,0.01
ZNRF1,0.01
AC009139.1,0.01
AC105411.1,0.01
AC092718.2,0.01
AC009119.2,0.01
AC040169.3,0.01
ZC3H18,0.01
ACSF3,0.01
AC137932.2,0.01
LINC02166,0.01
FAM57A,0.01
GEMIN4,0.01
AC087392.3,0.01
AC087498.2,0.01
VMO1,0.01
SLC52A1,0.01
ZNF594,0.01
AC015727.1,0.01
AC016876.2,0.01
SAT2,0.01
ALOX12B,0.01
MYH2,0.01
AC015908.3,0.01
MAP2K4,0.01
UPF3AP1,0.01
USP32P1,0.01
AC055811.3,0.01
CCDC144CP,0.01
AC087294.1,0.01
SSH2,0.01
AC104984.1,0.01
AC116407.2,0.01
RHBDL3,0.01
AC004223.4,0.01
SLFN5,0.01
SLFN12L,0.01
AC006441.4,0.01
AC005288.1,0.01
WIPF2,0.01
CDC6,0.01
C17orf113,0.01
IFI35,0.01
RPL21P4,0.01
AC091152.4,0.01
EFTUD2,0.01
AC015936.1,0.01
AC008105.1,0.01
TCAM1P,0.01
AC005332.4,0.01
AC016888.1,0.01
SLC25A19,0.01
QRICH2,0.01
PRPSAP1,0.01
PRCD,0.01
AC068594.1,0.01
SOCS3,0.01
LINC01977,0.01
LINC01978,0.01
AC027601.4,0.01
AC132872.2,0.01
AP000845.1,0.01
MYL12B,0.01
PPP4R1.AS1,0.01
AP001269.2,0.01
AC090912.1,0.01
LINC01894,0.01
AC121320.1,0.01
TRAPPC8,0.01
AC116447.1,0.01
ZNF24,0.01
SLC14A1,0.01
KATNAL2,0.01
RPL17.C18orf32,0.01
AC022031.2,0.01
LINC01905,0.01
FECH,0.01
FBXO15,0.01
AC009716.2,0.01
ZNF236.DT,0.01
AC125437.1,0.01
RBCK1,0.01
PSMF1,0.01
ATRN,0.01
PLCB4,0.01
MACROD2,0.01
AL049794.1,0.01
CST13P,0.01
AL035252.3,0.01
RN7SL594P,0.01
AL008725.1,0.01
AL137077.1,0.01
LINC00659,0.01
OGFR,0.01
KCNQ2,0.01
AC006273.1,0.01
KISS1R,0.01
MBD3,0.01
REXO1,0.01
ADAT3,0.01
AC004678.2,0.01
MFSD12,0.01
AC016586.2,0.01
AC005578.1,0.01
UBXN6,0.01
AC011498.7,0.01
AC005339.1,0.01
KHSRP,0.01
PNPLA6,0.01
ELAVL1,0.01
AC008752.1,0.01
AC114271.1,0.01
CCDC159,0.01
AC008543.3,0.01
ZNF440,0.01
ZNF20,0.01
OR1I1,0.01
AC003956.1,0.01
WIZ,0.01
AC008764.6,0.01
HAUS8,0.01
BISPR,0.01
MPV17L2,0.01
ZNF729,0.01
AC139769.1,0.01
AC008738.2,0.01
SIRT2,0.01
C19orf47,0.01
LIPE.AS1,0.01
PINLYP,0.01
AC138470.2,0.01
ZNF226,0.01
IRF2BP1,0.01
PNMA8B,0.01
DHX34,0.01
RASIP1,0.01
AC006942.1,0.01
KLK1,0.01
ZNF528.AS1,0.01
KMT5C,0.01
SBK2,0.01
TRAPPC2B,0.01
ZNF419,0.01
ZNF550,0.01
ZIK1,0.01
ZNF671,0.01
AC016027.1,0.01
DGCR6,0.01
SPECC1L,0.01
AP000356.1,0.01
ASPHD2,0.01
SRRD,0.01
TFIP11,0.01
Z95115.1,0.01
CCDC117,0.01
Z95114.4,0.01
TST,0.01
C1QTNF6,0.01
SGSM3,0.01
MEI1,0.01
AP000568.1,0.01
AP000223.1,0.01
AP001442.1,0.01
HUNK,0.01
MORC3,0.01
KCNJ15,0.01
LINC00323,0.01
RSPH1,0.01
AP001628.2,0.01
ERVH48.1,0.01
SIK1,0.01
RRP1,0.01
IMMTP1,0.01
AL035706.1,0.01
AC241377.3,0.01
H1FOO,0.01
AC080128.1,0.01
RN7SL83P,0.01
AC004875.1,0.01
OR9N1P,0.01
AC090692.2,0.01
AP003063.1,0.01
ANTXRL,0.01
RPL22P17,0.01
RANBP20P,0.01
AC012301.2,0.01
MC4R,0.01
AL160411.1,0.01
LINC01532,0.01
AC008687.2,0.01
AC004882.1,0.01
MORN1,0.01
BX005132.1,0.01
LINC00337,0.01
SLC45A1,0.01
PIK3CD,0.01
NMNAT1,0.01
PLEKHM2,0.01
UBXN10,0.01
HP1BP3,0.01
ZBTB40,0.01
RHCE,0.01
ZNF683,0.01
WDTC1,0.01
AL020997.3,0.01
AL020997.4,0.01
AK2,0.01
RPL5P4,0.01
MAP7D1,0.01
TMEM53,0.01
HSPB11,0.01
SPATA1,0.01
HS2ST1,0.01
AC092802.1,0.01
AL360270.3,0.01
AP4B1,0.01
DCLRE1B,0.01
MAN1A2,0.01
AL157902.2,0.01
POLR3C,0.01
NUDT4B,0.01
RF00003.11,0.01
HIST2H2BF,0.01
CIART,0.01
AL590133.1,0.01
CLK2,0.01
HAPLN2,0.01
ARHGEF11,0.01
AL590560.4,0.01
SLAMF7,0.01
NECTIN4,0.01
UAP1,0.01
AL356441.1,0.01
POGK,0.01
GORAB.AS1,0.01
EEF1AKNMT,0.01
AL137796.1,0.01
AL355482.1,0.01
CDC73,0.01
ZBTB41,0.01
AL365258.2,0.01
KDM5B,0.01
AC096645.1,0.01
CD55,0.01
LYPLAL1.DT,0.01
AURKAP1,0.01
LINC01705,0.01
OBSCN.AS1,0.01
CAPN9,0.01
AL353052.1,0.01
MTR,0.01
AL591623.1,0.01
AHCTF1,0.01
ZNF670,0.01
AC092159.2,0.01
CPSF3,0.01
GEN1,0.01
DNAJC27,0.01
ABHD1,0.01
BABAM2,0.01
GALNT14,0.01
XDH,0.01
AL133243.1,0.01
HEATR5B,0.01
AC007390.2,0.01
PRKD3,0.01
RMDN2,0.01
OXER1,0.01
AC010883.1,0.01
LINC01119,0.01
LHCGR,0.01
AC012498.1,0.01
REL,0.01
AC007365.2,0.01
PPP3R1,0.01
AC073263.1,0.01
C2orf81,0.01
AC012494.1,0.01
PARTICL,0.01
USP39,0.01
AC125232.2,0.01
EIF2AK3.DT,0.01
KANSL3,0.01
AC018892.3,0.01
MITD1,0.01
LYG2,0.01
TBC1D8,0.01
RFX8,0.01
RGPD6,0.01
PAX8.AS1,0.01
RPL23AP7,0.01
AC012306.2,0.01
PTPN18,0.01
FAR2P4,0.01
MBD5,0.01
MARCH7,0.01
SCN1A.AS1,0.01
CERS6.AS1,0.01
SPC25,0.01
AC010894.3,0.01
PRKRA.AS1,0.01
AC010680.2,0.01
ASNSD1,0.01
AC079777.1,0.01
AC092614.1,0.01
AC104823.1,0.01
CCDC150,0.01
FLACC1,0.01
NOP58,0.01
AC064836.2,0.01
AC093698.1,0.01
AC073321.1,0.01
ASIC4,0.01
RHBDD1,0.01
AC073065.1,0.01
AC012507.2,0.01
AC073476.3,0.01
AC073254.1,0.01
ERFE,0.01
TRNT1,0.01
SLC6A1,0.01
AC087591.1,0.01
CAPN7,0.01
AC093142.1,0.01
EIF1B,0.01
AC109583.2,0.01
SETD2,0.01
VPS26BP1,0.01
SLC26A6,0.01
LINC02585,0.01
IP6K2,0.01
AC115284.4,0.01
PARP3,0.01
ABHD14A,0.01
AC012467.2,0.01
ERC2.IT1,0.01
SNTN,0.01
AC069222.1,0.01
LINC01990,0.01
DPPA2,0.01
NECTIN3.AS1,0.01
AC074044.1,0.01
AC073352.1,0.01
GTF2E1,0.01
MCM2,0.01
PODXL2,0.01
SEC61A1,0.01
ACAD9,0.01
AC092969.1,0.01
AC046134.2,0.01
AC011317.1,0.01
AC108729.2,0.01
SLC33A1,0.01
TERC,0.01
RNU6.681P,0.01
VPS8,0.01
AC022498.2,0.01
AC124944.2,0.01
TFRC,0.01
LINC01063,0.01
AC139887.2,0.01
GAK,0.01
NSD2,0.01
FAM86EP,0.01
STX18.AS1,0.01
GRPEL1,0.01
FGFBP2,0.01
ERVH.1,0.01
TBC1D19,0.01
UGDH.AS1,0.01
LINC00682,0.01
KCTD8,0.01
SLAIN2,0.01
STBD1,0.01
BMP2K,0.01
AC004069.1,0.01
AC092445.1,0.01
AC107071.1,0.01
PLA2G12A,0.01
EXOSC9,0.01
RN7SL382P,0.01
AC097376.2,0.01
RPSAP36,0.01
LINC02266,0.01
ZNF827,0.01
PRMT9,0.01
AC107208.1,0.01
RAPGEF2,0.01
LINC02477,0.01
UFSP2,0.01
CEP72,0.01
AC116351.2,0.01
AC012640.3,0.01
LIFR.AS1,0.01
ITGA1,0.01
GNL3LP1,0.01
AK6,0.01
AC138866.1,0.01
AC026726.1,0.01
AC010595.1,0.01
AC093510.2,0.01
ARSK,0.01
RNA5SP190,0.01
AC011416.3,0.01
C5orf56,0.01
CDKL3,0.01
C5orf24,0.01
FAM13B,0.01
AC034243.1,0.01
AC008438.1,0.01
MIR3655,0.01
PCDHA3,0.01
PCDHA11,0.01
PCDHA13,0.01
YIPF5,0.01
NDST1,0.01
SOX30,0.01
LSM11,0.01
AC026689.1,0.01
FOXI1,0.01
DUSP1,0.01
N4BP3,0.01
AC008443.6,0.01
HUS1B,0.01
FAM50B,0.01
PPP1R3G,0.01
TXNDC5,0.01
AL031777.3,0.01
HIST1H3I,0.01
ZSCAN9,0.01
HCG14,0.01
DDX39B.AS1,0.01
LST1,0.01
C6orf47,0.01
VPS52,0.01
SYNGAP1.AS1,0.01
MTCH1,0.01
USP49,0.01
MED20,0.01
TAF8,0.01
AL355385.1,0.01
AL646090.1,0.01
NDUFAB1P1,0.01
LINC00472,0.01
LCA5,0.01
TTK,0.01
LINC02542,0.01
DOP1A,0.01
PM20D2,0.01
MAP3K7,0.01
AL589826.1,0.01
SIM1,0.01
Z95118.2,0.01
SMPD2,0.01
METTL24,0.01
TRAF3IP2.AS1,0.01
AL358942.1,0.01
TPD52L1,0.01
VTA1,0.01
FBXO30,0.01
AL035530.2,0.01
AL022069.3,0.01
AC093627.4,0.01
IMMP1LP3,0.01
CCZ1B,0.01
AC005062.1,0.01
AC007001.1,0.01
HNRNPA2B1,0.01
ZNRF2P1,0.01
KBTBD2,0.01
VPS41,0.01
LINC00265,0.01
GCK,0.01
RAMP3,0.01
AC016769.2,0.01
RABGEF1,0.01
PMS2P7,0.01
GTF2IP4,0.01
STX1A,0.01
EIF4H,0.01
AC004980.3,0.01
CLDN12,0.01
MTERF1,0.01
AC002074.1,0.01
PPP1R9A,0.01
AC004967.1,0.01
AGFG2,0.01
DGAT2L7P,0.01
AC093668.2,0.01
FBXL13,0.01
AC090114.2,0.01
CPA4,0.01
AC091736.1,0.01
CREB3L2,0.01
TCAF2,0.01
GHET1,0.01
AC005586.2,0.01
ZNF775,0.01
CRYGN,0.01
LINC01203,0.01
PHEX,0.01
CXorf58,0.01
POLA1,0.01
AL121578.3,0.01
MED14OS,0.01
MAOA,0.01
USP11,0.01
ZNF81,0.01
AL158055.1,0.01
IQSEC2,0.01
NONO,0.01
PABPC1L2B,0.01
MAP2K4P1,0.01
AC233296.1,0.01
TCEAL4,0.01
RTL9,0.01
PAK3,0.01
Z85995.1,0.01
SMARCA1,0.01
LINC00894,0.01
RENBP,0.01
FAM3A,0.01
TMLHE,0.01
WASH6P,0.01
ARHGEF10,0.01
ENPP7P1,0.01
AC022784.2,0.01
MTMR9,0.01
PSD3,0.01
AC021613.1,0.01
REEP4,0.01
GTF2E2,0.01
AC124067.3,0.01
STAR,0.01
PLEKHA2,0.01
ADAM32,0.01
GINS4,0.01
AC064807.2,0.01
AC113139.1,0.01
AC015687.1,0.01
AC009446.1,0.01
AC022893.2,0.01
THAP12P7,0.01
AC009686.2,0.01
RF00017.70,0.01
RGS22,0.01
EMC2,0.01
CSMD3,0.01
UTP23,0.01
AC016405.2,0.01
OC90,0.01
ERICD,0.01
ZC3H3,0.01
AC067930.2,0.01
DGAT1,0.01
ADCK5,0.01
AL354707.2,0.01
AL359922.3,0.01
TOPORS,0.01
AL355377.3,0.01
AL353795.1,0.01
AL158156.1,0.01
TOMM5,0.01
FRMPD1,0.01
BX005266.2,0.01
SMC5,0.01
C9orf85,0.01
TRPM6,0.01
AL137847.1,0.01
AL158071.3,0.01
SPTLC1,0.01
FANCC,0.01
AL161729.1,0.01
ERCC6L2,0.01
TRIM14,0.01
GALNT12,0.01
INVS,0.01
CAVIN4,0.01
TMEM245,0.01
AL158823.1,0.01
DNAJC25.GNG10,0.01
RN7SL430P,0.01
C9orf147,0.01
PRPF4,0.01
AC007066.3,0.01
AC006450.3,0.01
C9orf50,0.01
ABL1,0.01
NTNG2,0.01
STKLD1,0.01
AL138781.2,0.01
C9orf163,0.01
PNPLA7,0.01
AC136475.9,0.01
LRRC56,0.01
LSP1,0.01
RHOG,0.01
ZNF214,0.01
OR5P2,0.01
TMEM9B.AS1,0.01
NAV2.AS2,0.01
PIGCP1,0.01
TRAF6,0.01
C11orf49,0.01
NR1H3,0.01
FAM180B,0.01
RF00019.456,0.01
AP000437.1,0.01
CSKMT,0.01
MARK2,0.01
AP003774.3,0.01
BBS1,0.01
SSH3,0.01
SHANK2.AS3,0.01
LRTOMT,0.01
FAM168A,0.01
AP003168.2,0.01
RSF1.IT2,0.01
AP001767.4,0.01
BIRC3,0.01
LINC02552,0.01
PTS,0.01
CEP164,0.01
C2CD2L,0.01
USP2.AS1,0.01
TECTA,0.01
APLP2,0.01
LINC02668,0.01
HSPA14.1,0.01
VIM.AS1,0.01
ENKUR,0.01
RPL21P93,0.01
EIF3LP2,0.01
ZNF239,0.01
ZNF22,0.01
OR6D1P,0.01
AL645998.1,0.01
PARGP1,0.01
ANXA8,0.01
AL133551.1,0.01
HNRNPH3,0.01
AL355334.2,0.01
MINPP1,0.01
CWF19L1,0.01
PPRC1,0.01
YWHAZP5,0.01
AL391988.1,0.01
EIF3A,0.01
AC023282.1,0.01
AL603764.2,0.01
DMBT1P1,0.01
DOCK1,0.01
FBXL14,0.01
GAPDH,0.01
ATN1,0.01
C1RL.AS1,0.01
CLEC2D,0.01
TAS2R10,0.01
AC006518.2,0.01
PRB3,0.01
ANO6,0.01
AC025031.1,0.01
HDAC7,0.01
DNAJC22,0.01
NCKAP5L,0.01
LETMD1,0.01
ATG101,0.01
CALCOCO1,0.01
TESPA1,0.01
AC023055.1,0.01
LEMD3,0.01
LINC02384,0.01
LINC01481,0.01
AC133480.1,0.01
PPP1R12A.AS1,0.01
PPFIA2,0.01
LRRIQ1,0.01
AC009522.1,0.01
AC123512.1,0.01
CCDC38,0.01
C12orf42,0.01
C12orf45,0.01
CMKLR1,0.01
USP30,0.01
OAS2,0.01
AC083806.2,0.01
COQ5,0.01
AC084018.1,0.01
HCAR1,0.01
EP400P1,0.01
NOC4L,0.01
AC148476.1,0.01
ZNF605,0.01
ZNF10,0.01
SKA3,0.01
SPATA13,0.01
AL356750.1,0.01
HMGB1,0.01
B3GLCT,0.01
N4BP2L1,0.01
N4BP2L2.IT2,0.01
AL138960.1,0.01
AL138963.1,0.01
LRCH1,0.01
RNASEH2B.AS1,0.01
AL139089.1,0.01
BORA,0.01
TBC1D4,0.01
AC001226.2,0.01
RBM26.AS1,0.01
LINC00380,0.01
AL354811.1,0.01
AL356966.1,0.01
RPS26P47,0.01
AL442128.2,0.01
AL353704.1,0.01
ATP11A.AS1,0.01
PCID2,0.01
AL355075.4,0.01
TOX4,0.01
SLC22A17,0.01
NOP9,0.01
AL132800.1,0.01
HEATR5A,0.01
AL132639.3,0.01
RTRAF,0.01
KTN1.AS1,0.01
TRMT5,0.01
SLC38A6,0.01
ESR2,0.01
GPHN,0.01
AL049779.1,0.01
AL359317.2,0.01
ACOT2,0.01
BBOF1,0.01
LTBP2,0.01
BATF,0.01
AL162171.4,0.01
RPL21P11,0.01
GPR68,0.01
ATXN3,0.01
GOLGA5,0.01
PPP4R4,0.01
DICER1,0.01
ATG2B,0.01
AL163051.1,0.01
DLK1,0.01
MAGEL2,0.01
AC090983.1,0.01
TRPM1,0.01
AC090877.1,0.01
GOLGA8A,0.01
AC020658.4,0.01
C15orf56,0.01
BAHD1,0.01
AC073657.1,0.01
VPS39,0.01
EIF3J.DT,0.01
PATL2,0.01
AC010867.1,0.01
AC011912.1,0.01
AC010999.2,0.01
CCNB2,0.01
ICE2,0.01
TPM1.AS,0.01
SNX1,0.01
RAB11A,0.01
IQCH.AS1,0.01
MAP2K5,0.01
PPIAP46,0.01
AC105020.3,0.01
PSMA4,0.01
ST20.AS1,0.01
RF00017.119,0.01
AC022558.3,0.01
HDGFL3,0.01
BNC1,0.01
GOLGA6L4,0.01
GOLGA6L5P,0.01
AEN,0.01
ARPIN,0.01
AC087284.1,0.01
AC021422.1,0.01
AC106028.4,0.01
MCTP2,0.01
SPATA41,0.01
SELENOS,0.01
NPRL3,0.01
LMF1,0.01
GNPTG,0.01
AC009065.2,0.01
E4F1,0.01
ABCA3,0.01
AC108134.1,0.01
ZSCAN32,0.01
CLUAP1,0.01
NLRC3,0.01
ADCY9,0.01
SRL,0.01
AC012676.5,0.01
RN7SL850P,0.01
CLEC16A,0.01
SNX29,0.01
AC092375.2,0.01
AC092119.2,0.01
LCMT1.AS1,0.01
ZKSCAN2.DT,0.01
SULT1A2,0.01
BOLA2,0.01
MIR762HG,0.01
PRSS36,0.01
AC026471.6,0.01
AC012186.2,0.01
ADAM3B,0.01
MRPS21P7,0.01
OGFOD1,0.01
PDP2,0.01
ELMO3,0.01
LRRC36,0.01
CTCF,0.01
GFOD2,0.01
NRN1L,0.01
CDH3,0.01
SNTB2,0.01
VPS4A,0.01
CMTR2,0.01
AC009163.4,0.01
AC025287.3,0.01
AC009063.3,0.01
AC009119.1,0.01
GINS2,0.01
C16orf74,0.01
AC136285.3,0.01
AC133919.2,0.01
AC005696.4,0.01
ARRB2,0.01
CAMTA2,0.01
PFAS,0.01
KRBA2,0.01
AC005224.2,0.01
CCDC144A,0.01
COPS3,0.01
AC122129.1,0.01
CCDC144B,0.01
RPS2P46,0.01
AC138207.6,0.01
AC005899.5,0.01
AC060766.7,0.01
TOP2A,0.01
KRTAP2.1,0.01
CNP,0.01
AC067852.2,0.01
AC109326.1,0.01
G6PC3,0.01
NSF,0.01
SP2.AS1,0.01
PRR15L,0.01
RNU6.826P,0.01
AC005839.1,0.01
UTP18,0.01
TRIM25,0.01
RNU2.58P,0.01
AC046185.3,0.01
CD79B,0.01
SCN4A,0.01
AMZ2,0.01
ROCR,0.01
SLC39A11,0.01
ARMC7,0.01
RECQL5,0.01
AC022966.3,0.01
P4HB,0.01
RAC3,0.01
CSNK1D,0.01
AC132872.5,0.01
FOXK2,0.01
AC124283.5,0.01
AC024361.2,0.01
AC024361.1,0.01
ANKRD12,0.01
AC022795.1,0.01
C18orf32,0.01
SNHG22,0.01
SKA1,0.01
AC006305.1,0.01
MALT1,0.01
KDSR,0.01
SERPINB4,0.01
DSEL,0.01
AC026585.1,0.01
STK35,0.01
PCED1A,0.01
UBOX5,0.01
PCNA,0.01
NAA20,0.01
RPS15AP1,0.01
CST9L,0.01
GINS1,0.01
FRG1BP,0.01
AAR2,0.01
MANBAL,0.01
AL109614.1,0.01
SNHG11,0.01
OSER1,0.01
GDAP1L1,0.01
ZNF334,0.01
SPATA2,0.01
LINC01270,0.01
ADNP.AS1,0.01
SYCP2,0.01
YTHDF1,0.01
AC016588.2,0.01
BTBD2,0.01
AC011498.4,0.01
GTF2F1,0.01
AC010503.1,0.01
CLEC4GP1,0.01
TSPAN16,0.01
CCDC151,0.01
ZNF887P,0.01
HNRNPA1P10,0.01
ZNF788P,0.01
AC008758.5,0.01
FBXW9,0.01
LYL1,0.01
CIB3,0.01
AC020917.4,0.01
ABHD8,0.01
ELL,0.01
MAU2,0.01
AC011447.7,0.01
ZNF429,0.01
ZNF536,0.01
KIAA0355,0.01
SYNE4,0.01
ZNF566,0.01
ZNF571,0.01
TDGF1P7,0.01
AC010616.1,0.01
CEACAM1,0.01
AC006213.5,0.01
ZNF227,0.01
BLOC1S3,0.01
PNMA8A,0.01
TULP2,0.01
ADM5,0.01
VSIG10L,0.01
AC074141.1,0.01
ZNF528,0.01
CACNG8,0.01
SSC5D,0.01
FIZ1,0.01
EPN1,0.01
GALP,0.01
AC005261.1,0.01
AC012313.6,0.01
ZNF837,0.01
AC012313.9,0.01
AC016629.3,0.01
IL17RA,0.01
TUBA8,0.01
ESS2,0.01
AC002470.1,0.01
YPEL1,0.01
AP000345.2,0.01
AP000347.1,0.01
AC004832.6,0.01
PIK3IP1,0.01
FAM227A,0.01
JOSD1,0.01
AL021707.6,0.01
Z83847.1,0.01
TNFRSF13C,0.01
AL021878.2,0.01
EFCAB6,0.01
NCAPH2,0.01
RPL39P40,0.01
RNGTTP1,0.01
AP001596.1,0.01
LTN1,0.01
AP000302.1,0.01
DONSON,0.01
MEMO1P1,0.01
AP001432.1,0.01
ABCG1,0.01
AP001057.1,0.01
AL365255.1,0.01
AL137802.1,0.01
AC099566.1,0.01
AC093663.1,0.01
AL357054.4,0.01
GCM2,0.01
LINC00581,0.01
AL078603.1,0.01
AL731684.2,0.01
AC003984.1,0.01
AC234775.1,0.01
BLK,0.01
AC087203.3,0.01
RF00019.402,0.01
AC068205.1,0.01
AP003721.3,0.01
AC078923.1,0.01
MTCYBP3,0.01
AC092079.2,0.01
AC139256.2,0.01
LINC02138,0.01
MYH13,0.01
AC104564.1,0.01
AC015813.8,0.01
SIRPG,0.01
RPS4XP23,0.01
MTND1P23,0
CFAP74,0
PANK4,0
DFFB,0
ACOT7,0
PER3,0
AL954705.1,0
PIK3CD.AS2,0
UBE4B,0
AL035405.1,0
TMEM82,0
BX284668.2,0
ALDH4A1,0
RNU6.1099P,0
HNRNPR,0
ZNF436.AS1,0
MYOM3,0
AL020996.1,0
CNKSR1,0
CSF3R,0
SNIP1,0
GNL2,0
MANEAL,0
AL139220.2,0
AL136380.1,0
TOE1,0
CYP4A22.AS1,0
OSBPL9,0
CPT2,0
OMA1,0
DOCK7,0
JAK1,0
ZRANB2,0
AL137803.1,0
AC096531.2,0
ZNF644,0
AC095031.1,0
AC118553.1,0
RTCA,0
KIAA1324,0
RPL7P8,0
GSTM1,0
AL360270.2,0
DRAM2,0
INKA2,0
SLC22A15,0
RF00003,0
NBPF15,0
NUDT17,0
CHD1L,0
HIST2H2BC,0
MTMR11,0
VPS45,0
BNIPL,0
TDRKH,0
RORC,0
C2CD4D,0
AL592078.2,0
HCN3,0
PRCC,0
SLAMF1,0
AL590714.1,0
PBX1,0
TBX19,0
METTL18,0
PIGC,0
RNU6.307P,0
CACYBP,0
RN7SL230P,0
RPL10P4,0
PPP1R12B,0
AL034351.4,0
NEK2,0
TAF1A,0
LINC01641,0
ARV1,0
AL391832.1,0
SNORA14B,0
RBM34,0
AL359921.1,0
AC093426.1,0
C1orf229,0
AC231981.1,0
AC108488.3,0
AC108025.1,0
AC104794.4,0
AC106875.1,0
EFR3B,0
CIB4,0
AGBL5,0
AL121652.1,0
MEMO1,0
AL133243.3,0
LTBP1,0
LINC01833,0
MSH2,0
PPP1R21,0
LINC01867,0
LGALSL.DT,0
NAGK,0
MCEE,0
NOTO,0
AC005041.4,0
MOGS,0
DQX1,0
HTRA2,0
EVA1A,0
AC005034.3,0
SEMA4C,0
LIPT1,0
MRPS9,0
NT5DC4,0
AC009404.1,0
AC013275.1,0
AC018737.2,0
RNU6.1049P,0
AC097532.3,0
ERICH2,0
GORASP2,0
DYNC1I2,0
SP9,0
AC009948.3,0
AC010680.3,0
AC093388.1,0
AC011997.1,0
SGO2,0
GPR1,0
SNHG31,0
AC093382.1,0
AC012513.3,0
AC010136.1,0
ZNF142,0
BCS1L,0
SLC4A3,0
SCG2,0
FBXO36,0
AC017104.4,0
SH3BP4,0
TMSB10P1,0
TWIST2,0
SNED1,0
AC026191.1,0
BRPF1,0
AC018809.1,0
AC069271.1,0
AC093496.1,0
TBC1D5,0
AC144521.1,0
UBE2E1,0
NKIRAS1,0
CMTM8,0
